station_id,station_name,forecast_issued_utc,forecast_issued_local,forecast_for_date,forecast_high_f,n_hours_in_forecast
KSFO,San Francisco International,2026-04-04 02:31 UTC,2026-04-03 19:32 PDT,2026-04-04,80,24
KSFO,San Francisco International,2026-04-04 07:01 UTC,2026-04-04 00:02 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 08:41 UTC,2026-04-04 01:41 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 10:33 UTC,2026-04-04 03:33 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 12:55 UTC,2026-04-04 05:55 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 14:34 UTC,2026-04-04 07:34 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 16:36 UTC,2026-04-04 09:36 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 18:42 UTC,2026-04-04 11:42 PDT,2026-04-05,74,24
KSFO,San Francisco International,2026-04-04 20:32 UTC,2026-04-04 13:32 PDT,2026-04-05,76,24
KSFO,San Francisco International,2026-04-04 22:30 UTC,2026-04-04 15:30 PDT,2026-04-05,76,24
KSFO,San Francisco International,2026-04-05 02:28 UTC,2026-04-04 19:28 PDT,2026-04-05,76,24
KSFO,San Francisco International,2026-04-05 07:06 UTC,2026-04-05 00:06 PDT,2026-04-06,64,24
KSFO,San Francisco International,2026-04-05 08:42 UTC,2026-04-05 01:43 PDT,2026-04-06,64,24
KSFO,San Francisco International,2026-04-05 10:34 UTC,2026-04-05 03:35 PDT,2026-04-06,64,24
KSFO,San Francisco International,2026-04-05 12:57 UTC,2026-04-05 05:58 PDT,2026-04-06,64,24
KSFO,San Francisco International,2026-04-05 14:37 UTC,2026-04-05 07:37 PDT,2026-04-06,64,24
KSFO,San Francisco International,2026-04-05 16:37 UTC,2026-04-05 09:37 PDT,2026-04-06,64,24
KSFO,San Francisco International,2026-04-05 18:44 UTC,2026-04-05 11:44 PDT,2026-04-06,64,24
KSFO,San Francisco International,2026-04-05 20:33 UTC,2026-04-05 13:34 PDT,2026-04-06,64,24
KSFO,San Francisco International,2026-04-05 22:31 UTC,2026-04-05 15:31 PDT,2026-04-06,64,24
KSFO,San Francisco International,2026-04-06 02:28 UTC,2026-04-05 19:28 PDT,2026-04-06,64,24
KSFO,San Francisco International,2026-04-06 07:58 UTC,2026-04-06 00:59 PDT,2026-04-07,64,24
KSFO,San Francisco International,2026-04-06 09:17 UTC,2026-04-06 02:17 PDT,2026-04-07,64,24
KSFO,San Francisco International,2026-04-06 10:57 UTC,2026-04-06 03:57 PDT,2026-04-07,64,24
KSFO,San Francisco International,2026-04-06 13:10 UTC,2026-04-06 06:10 PDT,2026-04-07,64,24
KSFO,San Francisco International,2026-04-06 14:47 UTC,2026-04-06 07:47 PDT,2026-04-07,64,24
KSFO,San Francisco International,2026-04-06 18:59 UTC,2026-04-06 11:59 PDT,2026-04-07,64,24
KSFO,San Francisco International,2026-04-06 20:38 UTC,2026-04-06 13:38 PDT,2026-04-07,64,24
KSFO,San Francisco International,2026-04-06 22:37 UTC,2026-04-06 15:39 PDT,2026-04-07,64,24
KSFO,San Francisco International,2026-04-07 02:24 UTC,2026-04-06 19:24 PDT,2026-04-07,64,24
KSFO,San Francisco International,2026-04-07 07:17 UTC,2026-04-07 00:18 PDT,2026-04-08,68,24
KSFO,San Francisco International,2026-04-07 09:24 UTC,2026-04-07 02:25 PDT,2026-04-08,68,24
KSFO,San Francisco International,2026-04-07 10:55 UTC,2026-04-07 03:56 PDT,2026-04-08,68,24
KSFO,San Francisco International,2026-04-07 13:19 UTC,2026-04-07 06:19 PDT,2026-04-08,68,24
KSFO,San Francisco International,2026-04-07 15:08 UTC,2026-04-07 08:09 PDT,2026-04-08,68,24
KSFO,San Francisco International,2026-04-07 16:59 UTC,2026-04-07 10:01 PDT,2026-04-08,70,24
KSFO,San Francisco International,2026-04-07 19:03 UTC,2026-04-07 12:04 PDT,2026-04-08,70,24
KSFO,San Francisco International,2026-04-07 20:48 UTC,2026-04-07 13:49 PDT,2026-04-08,70,24
